,Latitude,Longtitude
214,-76.606762,39.332718
215,-76.690249,39.33991
216,-76.694149,39.316448
217,-76.551411,39.359151
218,-76.70425,39.284941
219,-76.634195,39.262977
220,-76.659327,39.273764
221,-76.605919,39.343611
222,-76.666288,39.301181
223,-76.686369,39.316201
224,-76.592716,39.357393
225,-76.607799,39.353963
226,-76.688859,39.344854
227,-76.688859,39.344854
228,-76.606779,39.345277
229,-76.625749,39.33141
230,-76.629928,39.357937
231,-76.611346,39.353029
